Pslack,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,Bus 10,Bus 11,System Loss
66.375,8.7695,38.069,19.317,3.0714,4.5262,11.922,3.6371,1.4144,2.4652,5.4557,6.0215,1.7268
58.063,8.0945,35.138,17.83,2.8349,4.1778,11.004,3.3572,1.3056,2.2754,5.0357,5.558,1.466
49.151,7.3696,31.992,16.234,2.5811,3.8037,10.019,3.0565,1.1886,2.0716,4.5848,5.0602,1.2061
51.09,7.5276,32.677,16.582,2.6364,3.8852,10.233,3.122,1.2141,2.116,4.6831,5.1687,1.2597
34.832,6.2102,26.958,13.68,2.175,3.2053,8.4424,2.5756,1.0016,1.7457,3.8635,4.2641,0.74718
29.286,5.752,24.97,12.67,2.0145,2.9688,7.8196,2.3856,0.92774,1.6169,3.5784,3.9495,0.64709
29.813,5.7953,25.158,12.766,2.0297,2.9911,7.8785,2.4036,0.93473,1.6291,3.6054,3.9793,0.65758
20.644,5.0388,21.874,11.099,1.7647,2.6007,6.85,2.0898,0.81271,1.4164,3.1347,3.4598,0.52325
6.8553,3.8992,16.927,8.5891,1.3656,2.0125,5.3008,1.6172,0.62891,1.0961,2.4258,2.6774,0.33563
-13.981,2.1638,9.393,4.7663,0.75782,1.1168,2.9415,0.89742,0.349,0.60825,1.3461,1.4857,0.21283
-22.017,1.4901,6.4684,3.2823,0.52187,0.76907,2.0257,0.618,0.24033,0.41887,0.92701,1.0231,0.21755
-20.995,1.5759,6.8409,3.4713,0.55192,0.81336,2.1423,0.65359,0.25417,0.44299,0.98039,1.0821,0.21534
-11.157,2.3999,10.418,5.2864,0.84051,1.2386,3.2625,0.99534,0.38708,0.67462,1.493,1.6478,0.21808
11.508,4.2845,18.599,9.4378,1.5006,2.2114,5.8246,1.777,0.69105,1.2044,2.6655,2.9419,0.38951
32.331,6.002,26.055,13.221,2.1021,3.0978,8.1593,2.4893,0.96806,1.6872,3.7339,4.1212,0.70935
55.972,7.9247,34.401,17.456,2.7755,4.0902,10.773,3.2867,1.2782,2.2277,4.9301,5.4414,1.4018
71.37,9.173,39.82,20.206,3.2127,4.7345,12.47,3.8045,1.4795,2.5786,5.7067,6.2985,1.9061
77.063,9.6318,41.812,21.217,3.3733,4.9713,13.094,3.9948,1.5535,2.7076,5.9921,6.6135,2.1237
78.769,9.769,42.408,21.519,3.4214,5.0421,13.28,4.0517,1.5757,2.7461,6.0775,6.7078,2.1917
79.71,9.8447,42.736,21.686,3.4479,5.0811,13.383,4.0831,1.5879,2.7674,6.1246,6.7597,2.2298
80.903,9.9405,43.152,21.897,3.4815,5.1306,13.514,4.1228,1.6033,2.7943,6.1842,6.8255,2.2785
83.119,10.117,43.918,22.285,3.5433,5.2217,13.754,4.196,1.6318,2.844,6.294,6.9467,2.37
83.789,10.173,44.162,22.409,3.563,5.2507,13.83,4.2193,1.6409,2.8598,6.329,6.9854,2.3809
83.966,10.187,44.224,22.441,3.568,5.2581,13.849,4.2252,1.6431,2.8638,6.3378,6.9951,2.3883
77.399,9.6588,41.929,21.276,3.3828,4.9852,13.131,4.006,1.5579,2.7152,6.009,6.6321,2.137
62.805,8.4806,36.814,18.681,2.9702,4.3771,11.529,3.5173,1.3678,2.3839,5.2759,5.8231,1.6054
50.724,7.4977,32.548,16.516,2.6259,3.8698,10.193,3.1097,1.2093,2.1077,4.6645,5.1482,1.2494
48.262,7.3053,31.713,16.092,2.5585,3.7705,9.9312,3.0299,1.1783,2.0536,4.5448,5.0161,1.0843
35.105,6.2308,27.048,13.725,2.1822,3.2159,8.4704,2.5842,1.005,1.7515,3.8763,4.2783,0.75277
37.334,6.4133,27.84,14.127,2.2461,3.3101,8.7185,2.6599,1.0344,1.8028,3.9898,4.4036,0.8036
34.435,6.1744,26.803,13.601,2.1625,3.1868,8.3938,2.5608,0.99588,1.7357,3.8412,4.2396,0.75475
23.159,5.246,22.773,11.556,1.8373,2.7076,7.1316,2.1757,0.84612,1.4747,3.2636,3.6021,0.56656
7.1383,3.9227,17.029,8.6408,1.3739,2.0246,5.3327,1.6269,0.63269,1.1027,2.4404,2.6935,0.33863
-12.21,2.3119,10.036,5.0926,0.8097,1.1932,3.1429,0.95885,0.37289,0.64989,1.4383,1.5874,0.2157
-21.724,1.5146,6.5751,3.3364,0.53047,0.78175,2.0591,0.62819,0.2443,0.42577,0.94228,1.04,0.21687
-25.576,1.1909,5.1696,2.6232,0.41708,0.61464,1.6189,0.49391,0.19208,0.33476,0.74087,0.8177,0.22897
-20.129,1.6486,7.1565,3.6314,0.57738,0.85088,2.2412,0.68374,0.2659,0.46343,1.0256,1.132,0.21383
-14.187,2.1465,9.318,4.7282,0.75177,1.1079,2.918,0.89025,0.34621,0.60339,1.3354,1.4739,0.21259
4.763,3.7257,16.173,8.2069,1.3049,1.9229,5.0649,1.5452,0.60092,1.0473,2.3178,2.5582,0.31454
29.938,5.8056,25.202,12.788,2.0333,2.9964,7.8924,2.4078,0.93639,1.632,3.6118,3.9863,0.66008
44.891,7.0306,30.52,15.487,2.4623,3.6287,9.5577,2.9159,1.134,1.9763,4.3739,4.8275,0.99215
51.052,7.5245,32.664,16.575,2.6353,3.8836,10.229,3.1207,1.2136,2.1152,4.6811,5.1666,1.2586
50.055,7.4433,32.311,16.396,2.6069,3.8417,10.119,3.0871,1.2005,2.0924,4.6306,5.1108,1.2309
47.926,7.278,31.594,16.032,2.549,3.7564,9.8941,3.0185,1.1739,2.0459,4.5278,4.9973,1.0749
45.482,7.0788,30.729,15.593,2.4792,3.6536,9.6233,2.9359,1.1417,1.9899,4.4039,4.8606,1.008
41.062,6.7181,29.163,14.798,2.3529,3.4674,9.1329,2.7863,1.0836,1.8885,4.1794,4.6129,0.89348
42.102,6.803,29.532,14.985,2.3826,3.5112,9.2483,2.8215,1.0973,1.9124,4.2323,4.6712,0.91963
43.923,6.9517,30.177,15.313,2.4347,3.588,9.4505,2.8832,1.1212,1.9542,4.3248,4.7733,0.96661
40.309,6.6566,28.896,14.663,2.3313,3.4357,9.0493,2.7608,1.0736,1.8712,4.1412,4.5707,0.87484
37.396,6.4184,27.862,14.138,2.2479,3.3127,8.7254,2.662,1.0352,1.8042,3.993,4.4071,0.80504
30.258,5.8319,25.316,12.846,2.0425,3.01,7.9281,2.4188,0.94063,1.6394,3.6281,4.0044,0.66653
38.628,6.5191,28.3,14.36,2.2832,3.3647,8.8624,2.7038,1.0515,1.8326,4.0557,4.4763,0.8341
32.324,6.0014,26.052,13.22,2.1019,3.0975,8.1586,2.4891,0.96796,1.687,3.7336,4.1208,0.7092
26.49,5.5198,23.962,12.159,1.9332,2.8489,7.5039,2.2893,0.8903,1.5517,3.434,3.7901,0.6282
19.246,4.9236,21.373,10.846,1.7244,2.5412,6.6934,2.0421,0.79413,1.3841,3.0631,3.3807,0.5004
6.8726,3.9007,16.933,8.5923,1.3661,2.0133,5.3028,1.6178,0.62914,1.0965,2.4267,2.6783,0.33581
-5.5349,2.8692,12.455,6.3202,1.0049,1.4809,3.9005,1.19,0.46278,0.80655,1.785,1.9701,0.23918
-21.174,1.5609,6.7758,3.4382,0.54666,0.80561,2.1219,0.64737,0.25175,0.43877,0.97105,1.0717,0.21569
-27.186,1.0554,4.5815,2.3248,0.36964,0.54473,1.4348,0.43773,0.17023,0.29668,0.65659,0.72468,0.23602
-29.637,0.84896,3.6854,1.8701,0.29733,0.43818,1.1541,0.35211,0.13693,0.23865,0.52816,0.58293,0.249
-28.369,0.95578,4.1491,2.1054,0.33474,0.49331,1.2993,0.39641,0.15416,0.26868,0.59461,0.65627,0.24194
-22.08,1.4848,6.4455,3.2706,0.52002,0.76634,2.0185,0.61581,0.23948,0.41738,0.92371,1.0195,0.21771
-5.7556,2.8508,12.375,6.2797,0.99844,1.4714,3.8755,1.1824,0.45981,0.80138,1.7735,1.9575,0.23809
15.357,4.6027,19.98,10.139,1.612,2.3756,6.2571,1.909,0.74237,1.2938,2.8634,3.1604,0.44135
31.122,5.9028,25.624,13.002,2.0673,3.0466,8.0245,2.4482,0.95207,1.6593,3.6723,4.0531,0.68415
40.818,6.6982,29.077,14.755,2.3459,3.4571,9.1058,2.778,1.0804,1.8829,4.1671,4.5992,0.88742
44.1,6.9661,30.24,15.345,2.4397,3.5954,9.47,2.8892,1.1236,1.9582,4.3337,4.7832,0.97124
46.542,7.1652,31.104,15.783,2.5095,3.6982,9.7407,2.9718,1.1557,2.0142,4.4576,4.9199,1.0367
45.937,7.1159,30.89,15.675,2.4922,3.6727,9.6737,2.9513,1.1477,2.0003,4.4269,4.886,1.0202
47.111,7.2116,31.306,15.885,2.5257,3.7221,9.8038,2.991,1.1632,2.0272,4.4865,4.9518,1.0523
48.941,7.3525,31.917,16.196,2.5751,3.7948,9.9953,3.0494,1.1859,2.0668,4.5741,5.0485,1.2004
48.911,7.35,31.907,16.19,2.5742,3.7936,9.992,3.0484,1.1855,2.0661,4.5726,5.0468,1.1996
48.086,7.291,31.65,16.06,2.5535,3.7631,9.9117,3.0239,1.176,2.0495,4.5359,5.0063,1.0794
47.496,7.243,31.442,15.955,2.5367,3.7383,9.8464,3.004,1.1682,2.036,4.506,4.9733,1.063
43.792,6.941,30.131,15.289,2.4309,3.5825,9.4359,2.8788,1.1195,1.9512,4.3181,4.7659,0.96318
49.948,7.4345,32.273,16.377,2.6038,3.8372,10.107,3.0835,1.1991,2.0899,4.6252,5.1048,1.2279
35.749,6.2835,27.277,13.841,2.2007,3.2431,8.5421,2.6061,1.0135,1.7663,3.9091,4.3145,0.76722
